handle,skus,barcodes,product_title,old_seo_title,new_seo_title
bibs-studio-smoczek-uspokajajacy-2-pak-latex-baby,"11022103, BIBS-STUDIO-BABYBLUE-DUSTYBLUE-2, BIBS-STUDIO-BABYBLUE-DUSTYBLUE-3",", , ",BIBS STUDIO - Smoczek uspokajający - Okrągły - (2-pak) - latex - baby blue / dusty blue,BIBS Studio smoczek Baby Blue/Dusty Blue 2-pak,BIBS Studio smoczek Baby Blue/Dusty Blue 2-pak
bibs-studio-smoczek-uspokajajacy-okragly-2-pak-latex-baby-blue-dusty-blue-copy,2121417,,BIBS - Smoczek uspokajający - SYMETRYCZNY - (2-pak) -Ivory/Blush,BIBS smoczek symetryczny Ivory/Blush 2-pak,BIBS smoczek symetryczny Ivory/Blush 2-pak
bibs-studio-smoczek-uspokajajacy-okragly-2-pak-latex-baby-blue-dusty-blue-copy-1,11015104,,BIBS STUDIO - Smoczek uspokajający - Okrągły - (2-pak) - latex - KOŚĆ SŁONIOWA/WANILIA,BIBS Studio smoczek Ko?? S?oniowa/Wanilia 2-pak,BIBS Studio smoczek Kość Słoniowa/Wanilia 2-pak
canpol-2-424-szczotka-grzebien-do-wlosow-miekka-niebieska,5909780,,CANPOL 2/424 - Szczotka + grzebień do włosów -(miękka) -  NIEBIESKA,Canpol 2/424 szczotka i grzebie? niebieska,Canpol 2/424 szczotka i grzebień niebieska
canpol-2-424-szczotka-grzebien-do-wlosow-miekka-rozowa,5909781,,CANPOL 2/424 - Szczotka + grzebień do włosów -(miękka) -  RÓŻOWA,Canpol 2/424 szczotka i grzebie? r??owa,Canpol 2/424 szczotka i grzebień różowa
canpol-22-565-smoczek-anatomiczny-silikon-orthodontic-0m-bezowy,774185,,CANPOL 22/580 - SMOCZEK  - silikon orthodontic- SYMETRYCZNY -( 0m+) - beżowy,Canpol 22/580 smoczek symetryczny 0m+ be?owy,Canpol 22/580 smoczek symetryczny 0m+ beżowy
smoczek-uspokajajacy-0-6m-symetryczny-okragly-rozowy,776114,,CANPOL 22/580 - SMOCZEK  - silikon orthodontic- SYMETRYCZNY -( 0m+) - RÓŻOWY,Canpol 22/580 smoczek symetryczny 0m+ r??owy,Canpol 22/580 smoczek symetryczny 0m+ różowy
canpol-26-901-pieluszki-muslinowe-2-szt-70x70cm-bonjour-paris-blue,789902,,CANPOL 26/901 - Pieluszki MUŚLINOWE - 70x70cm - (2 szt.)  - Bonjour Paris blue,Canpol 26/901 pieluszki mu?linowe Bonjour Paris Blue,Canpol 26/901 pieluszki muślinowe Bonjour Paris Blue
canpol-26-901-pieluszki-muslinowe-2-szt-70x70cm-bonjour-paris-pink,790376,,CANPOL 26/901 - Pieluszki MUŚLINOWE - 70x70cm - (2 szt.)  -Bonjour Paris pink,Canpol 26/901 pieluszki mu?linowe Bonjour Paris Pink,Canpol 26/901 pieluszki muślinowe Bonjour Paris Pink
canpol-34-920-smoczek-silikonowy-0-6m-symetryczny-exotic-lama,5902812,,CANPOL 34/920 - Smoczek silikonowy - (0-6m) - symetryczny EXOTIC Lama,Canpol 34/920 smoczek Exotic Lama 0-6m,Canpol 34/920 smoczek Exotic Lama 0-6m
